country,lat,long
Afghanistan,33.7680065,66.2385139
Albania,11.244803399999999,-72.51609706675976
Algeria,28.0000272,2.9999825
Angola,-11.8775768,17.5691241
Argentina,-34.9964963,-64.9672817
Austria,47.59397,14.12456
Australia,-24.7761086,134.755
Azerbaijan,40.3936294,47.7872508
Bahrain,25.227707549999998,55.171549227823945
Bangladesh,-0.2864982,36.0514231
Barbados,13.1500331,-59.5250305
Bahamas,24.7736546,-78.0000547
Burundi,-3.426449,29.9324519
Belgium,50.6402809,4.6667145
Benin,9.5293472,2.2584408
Burkina Faso,12.0753083,-1.6880314
Bhutan,27.549511,90.5119273
Biafra,,
Belize,17.1204943,-88.6859028
Bolivia,,
Bosnia-Herzegovina,,
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
Brunei,,
Bulgaria,42.6073975,25.4856617
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.991707
Central African Republic,7.0323598,19.9981227
Chad,15.6134137,19.0156172
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Cambodia,12.5433216,104.8144914
Colombia,4.099917,-72.9088133
Congo,-2.9814344,23.8222636
Costa Rica,10.2735633,-84.0739102
Croatia,45.3658443,15.6575209
Cuba,23.0131338,-80.8328748
Cyprus,34.9174159,32.889902651331866
Czechia,49.7439047,15.3381061
Denmark,55.670249,10.3333283
Djibouti,11.8145966,42.8453061
Dominican Republic,19.0974031,-70.3028026
DR Congo,,
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
Equatorial Guinea,1.613172,10.5170357
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
Finland,63.2467777,25.9209164
Fiji,-18.1239696,179.0122737
France,46.603354,1.8883335
Germany,51.1638175,10.4478313
Gabon,-0.8999695,11.6899699
Georgia,32.3293809,-83.1137366
Ghana,8.0300284,-1.0800271
Greece,43.2097838,-77.6930602
Guatemala,15.5855545,-90.345759
Guinea,10.7226226,-10.7083587
Guyana,4.8417097,-58.6416891
Haiti,19.1399952,-72.3570972
Honduras,15.2572432,-86.0755145
Hungary,47.1817585,19.5060937
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran,,
Ireland,52.865196,-7.9794599
Iraq,33.0955793,44.1749775
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Cote d'Ivoire,,
Jamaica,18.1850507,-77.3947693
Japan,36.5748441,139.2394179
Jordan,44.6663146,-93.6261918
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
South Korea,,
Kosovo,,
Kuwait,29.3796532,47.9734174
Laos,,
Latvia,56.8406494,24.7537645
Lebanon,40.375713,-76.4626118
Lesotho,-29.6039267,28.3350193
Liberia,5.7499721,-9.3658524
Lithuania,55.3500003,23.7499997
Luxembourg,49.6112768,6.129799
Libya,26.8234472,18.1236723
Libya HoR*,,
Libya GNC,,
North Macedonia,41.6171214,21.7168387
Madagascar,-18.9249604,46.4416422
Malaysia,4.5693754,102.2656823
Marshall Islands,8.230816999999998,167.7953223704529
Mauritius,-20.2759451,57.5703566
Mexico,19.4326296,-99.1331785
Micronesia,,
Mali,16.3700359,-2.2900239
Morocco,28.3347722,-10.371337908392647
Mauritania,20.2540382,-9.2399263
Malta,35.8885993,14.4476911
Montenegro,-29.6826112,-51.4687455
Malawi,-13.2687204,33.9301963
Myanmar,17.1750495,95.9999652
Namibia,-23.2335499,17.3231107
Nepal,28.3780464,83.9999901
Netherlands,52.2434979,5.6343227
Nicaragua,12.6090157,-85.2936911
Nigeria,9.6000359,7.9999721
Niger,17.7356214,9.3238432
Norway,64.5731537,11.52803643954819
New Zealand,-41.5000831,172.8344077
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.247499
Palau,42.5717989,2.9600905
Panama,8.559559,-81.1308434
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.1693445
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Qatar,25.3336984,51.2295295
Romania,45.9852129,24.6859225
Regional Security System**,,
Russia,,
Rwanda,-1.9646631,30.0644358
South Africa,-28.8166236,24.991639
El Salvador,13.8000382,-88.9140683
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.024322850000004,21.07657433209902
Seychelles,-4.6574977,55.4540146
Sierra Leone,8.6400349,-11.8400269
Singapore,1.357107,103.8194992
Saint Kitts and Nevis,17.250512,-62.6725973
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Somalia,8.3676771,49.083416
Spain,39.3260685,-4.8379791
Sri Lanka,7.5554942,80.7137847
South Sudan,7.8699431,29.6667897
Sudan,10.9,6.5
Suriname,4.1413025,-56.0771187
Saint Vincent,,
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Syria,,
Taiwan,,
Tanzania,,
Thailand,7.4931858,124.724704
Togo,8.7800265,1.0199765
Tonga,-19.9160819,-175.202642
Trinidad and Tobago,10.7466905,-61.0840075
Turkmenistan,39.3763807,59.3924609
Tunisia,36.8002068,10.1857757
Turkiye,,
UAE,,
Uganda,1.5333554,32.2166578
United Kingdom,54.7023545,-3.2765753
Ukraine,49.4871968,31.2718321
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Venezuela,,
Viet Nam,15.9266657,107.9650855
Vietnam,,
